cod_ine,nombre,direccion,telf_alcaldia,telf_concejo,fax,email,web,latitud,longitud
70701,Lagunillas,Calle Boliviar esq. Monteagudo,,,,,,-19.65038397,-63.674342035
70702,Charagua,Plaza 21 de Abril s/n,3-9542072 9542000,,3-9542072,,,-19.790933415,-63.198103376
70703,Cabezas,Av. Beningno Vaca Esq. Calle José Drangenville,3-3135537 3136333,,3-3133175 3135537,,,-18.78945873,-63.300093245
70704,Cuevo,Calle Comercio esq. Ayacucho s/n,,,,,,-20.454203291,-63.519657731
70705,Gutiérrez,Calle Santiestevan diagonal plaza principal,3-9546026 9546064,,3 39546064,,,-19.422656373,-63.529610227
70706,Camiri,"Plaza 12 de Julio, acera este s/n",3-9522330 9522331,,3-9522331,,,-20.040155292,-63.521578245
70707,Boyuibe,Av. Rafael Pabón esq. Héroes del Chaco s/n,3-6477126,,3-6477126,,,-20.445308969,-63.280654253
70801,Vallegrande,Plaza 26 de Enero Nº 10,3-9422149,,3-9422149,,,-18.488668866,-64.105652231
70802,El Trigal,Frente a la Plaza Principal 20 de Junio,3-3136339,,3-3136339,,,-18.30516727,-64.149495144
70803,Moro Moro,Plaza 25 de Julio s/n,,,,,,-18.366175752,-64.32351163
70804,Postrervalle,Plaza 16 de Julio s/n,,,,,,-18.492669288,-63.841323268
70805,Pucará,Calle Comercio s/n,,,,,,-18.715039713,-64.185992102
70901,Samaipata,Calle Ruben terrazas esq. Sucre,3-9446067 9446318,,3-9446147,,,-18.179048165,-63.877089949
70902,Pampa Grande,Calle Sucre s/n,3-3136040,,3-3136040,,,-18.091074757,-64.111167955
70903,Mairana,"Plaza 24 de Septiembre Nº 28, acera este",948-2041/2381,,948-2041,,,-18.12140989,-63.958735389
70904,Quirusillas,Plaza 8 de Diciembre s/n acera este,,,,,,-18.334813559,-63.947651552
71001,Montero,Calle Angel Mariano Cuéllar Nº 255,3-9220022,,3-9220202,,,-17.341230606,-63.256757774
71002,Gral. Saavedra,Plaza Principal Saavedra s/n,3-9246191 9249380,,3-9246191,,,-17.226378438,-63.213224282
71003,Mineros,Calle velasco esq. Linares,3-9246434 9246322,,3-246045 9246133,,,-17.118754814,-63.231328153
71004,Puerto Fernández Alonso,Plaza Principal Av. 16 de Agosto s/n,3-9253231,,3-9253231,,,-17.006202517,-63.231390317
71005,San Pedro,Calle 6 de Agosto frente a la plaza principal,3-9255627,,3-9255627,,,-16.826296824,-63.480973925
71101,Concepción,Calle Sargento Bustillos/Martin Smith,3-9643057 9643061,,3-9643008 9643057,,,-16.13451598,-62.02463996
71102,San Javier,Plaza 24 de septiembre,3-9635001 9635149,,3-9635001 9635148,,,-16.274156426,-62.504377866
71103,San Ramón,"Plaza de Armas, Av. Santa Cruz s/n",3-9656049 9656020,,3-9656049,,,,
71104,San Julián,Av. Santa Cruz esq. Calle Obrera de la Cruz s/n,3-9658013 9658002,,3-9658002,,,,
71105,San Antonio de Lomerío,Plaza Principal Av. 8 de Diciembre s/n,3-9802064,,,,,,
71106,Cuatro Cañadas,Plaza Principal,3-9656381,,3-39656381,,,-17.266746219,-62.557224988
71201,San Matías,"Plaza Germán Busch, acera este s/n",3-9792478 3-9792298,,,,,-16.361482432,-58.401065542
71301,Comarapa,Calle Santa Cruz frente a Plaza Principal,3-9462021 9462081,,3-9462021,,,-17.91548912,-64.526923325
71302,Saipina,Plaza 16 de Agosto s/n,3-3135515,,3-3135515,,,-18.0939352,-64.583878373
71401,Puerto Suárez,Av. Bolivar Santa Cruz,3-9762156 9762200 9762149,,3-9762149 9762156,,,-18.964559482,-57.797625072
71402,Puerto Quijarro,Plaza Principal Calle Santa Cruz Nª 47,3-9782078,,3-9784145 9782078,,,-19.00568668,-57.716280818
71403,Carmen Rivero Torres,"Plaza Principal s/n, acera norte",713-42286,,713-42286,,,-18.828262582,-58.62399686
71501,Ascención de Guarayos, Plaza Gregorio Salvatierra s/n,3-9667029,,3-9667029 9667035,,,-15.891755873,-63.189964666
71502,Urubichá,,,,,,,-15.628366037,-63.083725291
71503,El Puente,Plaza Principal de Urubichá s/n,3-3137045 9667840,,3-9667035,,,-16.328627098,-62.910874687
80101,Trinidad,Calle Pedro de la Rocha esq. La Paz s/n,3-4627770 3-4622812,,34652019,,,-14.835786125,-64.901848861
80102,San Javier,Av. 6 de Agosto (Lado FONVIS) s/n,3-4627565 3-4623418,,3-4628675,,,-14.599988942,-64.880946183
80201,Riberalta,Av. Nicolás Suárez Nº 237,3-8522674 3-8522417,,,,,-11.001756148,-66.071500397
80202,Guayaramerín,Plaza Germán Busch s/n,3-8553626,,3-8553626,,,-10.816499325,-65.354652243
80301,Reyes,Plaza José Ballivian Nº 0611,3-8252339 3-8252098,,3-8252339,,,-14.296328595,-67.336181284
80302,San Borja,Plaza 10 de Octubre s/n,3-8953328 3-8953324,,3-8953324,,,-14.858181741,-66.747107903
80303,Santa Rosa,Plaza 30 de Agosto s/n,3-8259506 3-8259111,,3-8259111,,,-14.079259296,-66.791835232
80304,Rurrenabaque,Plaza 2 de Febrero s/n,3-8922200,,,,,-14.441736009,-67.528438078
80401,Santa Ana,"Plaza Fray Baltazar Espinoza Nº 5, acera Sur",3-4842062 3-4842201,,3-4842063 4842337,,,-13.744247909,-65.427348433
80402,Exaltación,Plaza Frai Garriga s/n,,,,,,-13.32007639,-65.250402768
80501,San Ignacio,Calle Montes s/n,3-4822056 3-4822154,,3-4822154,,,-14.996354217,-65.637567675
80601,Loreto,Plaza Pedro Marbán s/n,3-4634017 3-4620594,,3-4653013,,,-15.193694835,-64.76025524
80602,San Andrés,Plaza 30 de Noviembre s/n,3-4627656,,,,,-15.022868897,-64.666184143
80701,San Joaquín,Plaza 6 de Agosto Nº 01,3-4655805,,3-4655805,,,-13.041123106,-64.667857015
80702,San Ramón,,,,,,,-13.265577554,-64.616823383
80703,Puerto Siles,Plaza Principal s/n,3-4655804,,,,,-12.799330436,-65.002255694
80801,Magdalena,"Plaza 22 de Julio, acera oeste s/n",3-8862221 3-8862218,,3-8862221 3-8862218,,,-13.262423277,-64.054507944
80802,Baures,Plaza 8 de Diciembre s/n,,,,,,-13.655431655,-63.695851558
80803,Huacaraje,"Calle 6 de Agosto, acera norte s/n",,,,,,-13.592809309,-63.880200186
90101,Cobija,"Plaza Germán Busch, Av. Teniente Cnl. Cornejo Nº 40",,,,,,-11.024812857,-68.761126578
90102,Porvenir,Plaza de Armas s/n,,,,,,-11.237474864,-68.687711353
90103,Bolpebra,Plaza Principal de Bolpebra s/n,3-8424952,,,,,-10.944687815,-69.56731265
90104,Bella Flor,Calle San Francisco Nº 059,3-8424057 8421249,,,,,-11.124078671,-67.791537872
90201,Puerto Rico,"Calle 18 de Mayo, entre Manuripi y Alberto Saenz",3-8422757,,,,,-11.104635956,-67.556200075
90202,San Pedro,Población de Loma Velarde,3-8523939 8524496,,,,,-10.825058912,-66.184520814
90203,Filadelfia,Plaza Principal de Filadelfia,3-8422638,,3-8422809,,,-11.347234486,-68.762557235
90301,Puerto Gonzalo Moreno,Av. Alberto Saenz Klinski s/n,,,,,,-11.086630608,-66.167043917
90302,Blanca Flor (San Lorenzo),Localidad de Blanca Flor,3-8423188,,,,,-11.888292596,-66.979220256
90303,El Sena,"Plaza 1º de Septiembre, Av. Integración s/n",3-8429338 38423188,,,,,-11.482950489,-67.245792142
90401,Santa Rosa del Abuná,Plaza Central Santa Rosa del Abuná,3-8424951,,3-8423584,,,-10.61987592,-67.447612466
90402,Humaita (Ingavi),Comunidad de Humaita,3-8424683,,,,,-10.816280491,-66.449197291
90501,Nueva Esperanza,Av. Principal s/n,3-8424199,,,,,-10.059199683,-65.338572209
90502,Villa Nueva (Loma Alta),Localidad de Villa Nueva,3-4822672 8523934,,,,,-10.788185999,-65.965148893
90503,Santos Mercado (Reserva),Localidad de Reserva,3-3522646,,3-3522646,,,-10.49455873,-66.212237539
